游戏视频制作,老K游戏,广州-番禺区,0.9-1.3万/月,06-24
电商分销总监（网红渠道）,广州尊蓝生物科技有限公司,广州-白云区,1-2万/月,06-24
市场拓展经理,长沙辣妈电子商务有限公司,长沙,0.8-1万/月,06-24
平面设计师,上海翼舶港信息技术有限公司,上海-浦东新区,0.8-1万/月,06-24
设计总监,广州柏岩宝科技有限公司,异地招聘,1.5-2.5万/月,06-24
专任教师,武汉学院,武汉-江夏区,6.5-20万/年,06-24
策划总监,人民网股份有限公司,北京-朝阳区,0.5-1万/月,06-24
京东文案策划,珠海市连盛电子科技有限公司,珠海,5-8千/月,06-24
商务公关,《新华大健康》直播节目制作中心(...,北京-丰台区,1.5-2万/月,06-24
电商经理,广东万臻互娱文化传播有限公司,东莞-大朗镇,0.8-1万/月,06-24
电商运营经理,浙江高裕家居科技股份有限公司,上海-青浦区,1-1.5万/月,06-24
媒介专员,广东壹帆新媒体科技有限公司,惠州,4.5-6千/月,06-24
新媒体销售专员,大连奥邦工业有限公司,大连-金州区,6-8千/月,06-24
广告优化师,广州禾多多美容科技有限公司,广州-天河区,0.8-1万/月,06-24
广告销售总监,上海璞缇客信息技术有限公司,杭州-拱墅区,1.5-2万/月,06-24
品宣 （兼媒介运营）,广东保椿生活科技有限公司,广州-番禺区,5-7千/月,06-24
医学文案,陕西克林沃尔科技有限公司,西安,0.5-1万/月,06-24
品牌设计师,浙江多宝贝婴童用品有限公司,杭州-江干区,0.8-1.2万/月,06-24
新媒体媒介经理,浙江合力传美文化传媒股份有限公司...,杭州-拱墅区,0.8-1.2万/月,06-24
平面,上海尚敦艺术设计有限公司,上海-长宁区,0.8-1.2万/月,06-24
新媒体编辑,珠海掌声鼓励广告有限公司,珠海,6-8千/月,06-24
媒介主管,广东晟田医药科技集团有限公司,广州-黄埔区,6-8千/月,06-24
新媒体专员,上海海域实业有限公司,上海-浦东新区,6-8千/月,06-24
内容运营,深圳市优克联新技术有限公司,深圳,1-2万/月,06-24
艺术设计学院教师,哈尔滨远东理工学院,哈尔滨,3.8-6千/月,06-24
